Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
1969,35.56,25.25,24.51,26.04,19.8,14.42,11.01,11.61,11.61,14.41,-5.15,9.17,16.52
1970,15.57,13.71,10.24,14.05,14.05,17.65,15.7,12,9.6,7.87,10.08,9.16,12.47
1971,4.26,7.09,7.86,7.97,5.07,2.14,2.14,1.43,2.92,4.38,3.52,2.1,4.24
1972,1.36,0.66,0.66,2.01,4.14,3.5,2.8,4.23,6.38,9.09,17.69,26.03,6.55
1973,21.48,19.74,21.05,24.34,25.17,34.46,42.18,41.22,44,42.31,30.64,27.17,31.15
1974,42.54,46.7,47.28,49.21,49.21,43.22,36.84,36.84,35.19,35.14,35.4,33.76,40.94
1975,22.48,19.48,19.93,17.38,18.44,17.19,17.83,18.88,20.89,18.67,19.61,19.49,19.19
1976,20.89,22.26,20,18.43,19.46,21.56,21.66,22.65,20.96,19.94,16.94,14.17,19.91
1977,13.61,11.54,12.05,12.5,12.28,10.34,10.98,9.83,8.9,9.13,10.05,11.94,11.1
1978,10.14,10.11,10.07,11.11,8.93,7.37,7.47,8.08,5.16,5.79,7.01,6.69,8.16
1979,6.9,9.19,8.73,10,13.73,18.3,19.22,20.4,22.9,22.92,21.03,20.59,16.16
1980,21.72,20.65,21.03,18.55,19.46,18.28,16.81,15.6,14.98,16.01,17.7,17.07,18.16
1981,17.36,16.48,16.9,16.9,12.82,11.59,11.6,10.89,10.42,9.82,7.1,7.36,12.44
1982,10.82,10.75,10.14,9.1,9.09,9.05,8.95,7.85,8.91,8.94,9.88,9.96,9.45
1983,9.89,9.46,8.71,11.29,12.13,13.43,13.16,13.59,13.6,12.25,11.95,12,11.79
1984,10.8,12.35,13.21,12.13,11.8,10.44,9.93,9.83,8.79,8.9,8.67,9.03,10.49
1985,5.89,3.7,3.69,4.92,4.59,5.26,4.76,4.86,4.77,4.77,5.06,4.43,4.72
1986,5.18,6.45,5.87,3.28,4.3,3.52,3.43,3.71,6.88,8.91,9.17,9.13,5.82
1987,8.2,8.96,9.08,9.07,9.77,9.84,10.48,10.91,8.61,7.93,9.25,9.3,9.28
1988,9.27,8.31,8.66,9.32,8.24,8.39,9.16,8.95,8.17,7.11,5.75,5.57,8.07
