step,epoch,train_loss
49,0,-4.412374973297119
99,1,-4.576357841491699
149,2,-4.7360453605651855
199,3,-4.832821369171143
249,4,-4.90903902053833
299,5,-4.975775241851807
349,6,-5.011838436126709
399,7,-5.086106777191162
449,8,-5.092782974243164
499,9,-5.168389320373535
549,10,-5.200997352600098
599,11,-5.1828932762146
649,12,-5.228329658508301
699,13,-5.255496978759766
749,14,-5.267672538757324
799,15,-5.307519435882568
849,16,-5.340764999389648
899,17,-5.345122814178467
949,18,-5.3664093017578125
999,19,-5.395601749420166
1049,20,-5.427800178527832
1099,21,-5.420835971832275
1149,22,-5.471312046051025
1199,23,-5.468606948852539
1249,24,-5.487217903137207
1299,25,-5.502066135406494
1349,26,-5.540536403656006
1399,27,-5.536184787750244
1449,28,-5.564963340759277
1499,29,-5.587540149688721
1549,30,-5.6224188804626465
1599,31,-5.625547409057617
1649,32,-5.645143985748291
1699,33,-5.662266731262207
1749,34,-5.675990104675293
1799,35,-5.692448139190674
1849,36,-5.724892616271973
1899,37,-5.730299472808838
1949,38,-5.760885715484619
1999,39,-5.750895977020264
2049,40,-5.7705254554748535
2099,41,-5.787419319152832
2149,42,-5.788166522979736
2199,43,-5.803441047668457
2249,44,-5.814810752868652
2299,45,-5.8245625495910645
2349,46,-5.821781158447266
2399,47,-5.831481456756592
2449,48,-5.8236799240112305
2499,49,-5.821194648742676
