epoch,train_loss,step
0,8.22790241241455,49
1,6.979607105255127,99
2,7.27871036529541,149
3,6.9507575035095215,199
4,6.672433376312256,249
5,6.809633255004883,299
6,6.619016170501709,349
7,6.609512805938721,399
8,6.595315456390381,449
9,6.582566738128662,499
10,6.4316325187683105,549
11,6.566565036773682,599
12,6.43673038482666,649
13,6.594854354858398,699
14,6.442617416381836,749
15,6.358455181121826,799
16,6.384800910949707,849
17,6.318429946899414,899
18,6.300957202911377,949
19,6.379837512969971,999
20,6.376111030578613,1049
21,6.440463066101074,1099
22,6.236666679382324,1149
23,6.57358455657959,1199
24,6.283185005187988,1249
25,6.4780683517456055,1299
26,6.251660346984863,1349
27,6.313600540161133,1399
28,6.306141376495361,1449
29,6.252902984619141,1499
30,6.500276565551758,1549
31,6.334726333618164,1599
32,6.215365409851074,1649
33,6.113697528839111,1699
34,6.077210903167725,1749
35,6.117246627807617,1799
36,6.448981761932373,1849
37,6.109606742858887,1899
38,6.2880024909973145,1949
39,6.190712928771973,1999
40,6.0640692710876465,2049
41,6.145077705383301,2099
42,6.144838333129883,2149
43,6.141206741333008,2199
44,6.064028263092041,2249
45,6.133863925933838,2299
46,6.227081775665283,2349
47,6.073898792266846,2399
48,6.1209516525268555,2449
49,6.088701248168945,2499
