step,train_loss,epoch
49,-4.063548564910889,0
99,-4.156667232513428,1
149,-4.279794692993164,2
199,-4.51417875289917,3
249,-4.784942150115967,4
299,-4.996687412261963,5
349,-5.189169883728027,6
399,-5.372677803039551,7
449,-5.5374755859375,8
499,-5.670523166656494,9
549,-5.783982753753662,10
599,-5.8955583572387695,11
649,-5.969452381134033,12
699,-6.037285327911377,13
749,-6.103488922119141,14
799,-6.172219753265381,15
849,-6.2327799797058105,16
899,-6.320846080780029,17
949,-6.350376605987549,18
999,-6.40540885925293,19
1049,-6.443141460418701,20
1099,-6.482245922088623,21
1149,-6.526172637939453,22
1199,-6.566087245941162,23
1249,-6.616296768188477,24
1299,-6.654858589172363,25
1349,-6.698913097381592,26
1399,-6.697272300720215,27
1449,-6.732536792755127,28
1499,-6.758183479309082,29
1549,-6.764702796936035,30
1599,-6.808688163757324,31
1649,-6.843018054962158,32
1699,-6.8610358238220215,33
1749,-6.898305892944336,34
1799,-6.905632972717285,35
1849,-6.901611804962158,36
1899,-6.909580230712891,37
1949,-6.956593036651611,38
1999,-6.9947190284729,39
2049,-7.0071492195129395,40
2099,-7.007806301116943,41
2149,-7.036645889282227,42
2199,-7.080877304077148,43
2249,-7.078372001647949,44
2299,-7.065883636474609,45
2349,-7.056760787963867,46
2399,-7.0777788162231445,47
2449,-7.156261444091797,48
2499,-7.146517753601074,49
