step,train_loss,epoch
49,-3.166534185409546,0
99,-3.963766574859619,1
149,-4.0661468505859375,2
199,-4.158067226409912,3
249,-4.219306945800781,4
299,-4.263587951660156,5
349,-4.326807022094727,6
399,-4.3971266746521,7
449,-4.427436351776123,8
499,-4.4510416984558105,9
549,-4.524013996124268,10
599,-4.558655738830566,11
649,-4.609119415283203,12
699,-4.6542463302612305,13
749,-4.677588939666748,14
799,-4.716591835021973,15
849,-4.7834930419921875,16
899,-4.843785285949707,17
949,-4.910962104797363,18
999,-4.982842922210693,19
1049,-5.05219841003418,20
1099,-5.113112926483154,21
1149,-5.1762285232543945,22
1199,-5.256711006164551,23
1249,-5.345726490020752,24
1299,-5.396862983703613,25
1349,-5.505030632019043,26
1399,-5.504979133605957,27
1449,-5.6351318359375,28
1499,-5.691303253173828,29
1549,-5.655736923217773,30
1599,-5.793453216552734,31
1649,-5.805467128753662,32
1699,-5.819360733032227,33
1749,-5.930152416229248,34
1799,-5.940329074859619,35
1849,-5.979535102844238,36
1899,-6.027188777923584,37
1949,-6.076453685760498,38
1999,-6.041001796722412,39
2049,-6.083286762237549,40
2099,-6.172070503234863,41
2149,-6.190157413482666,42
2199,-6.1893463134765625,43
2249,-6.212514877319336,44
2299,-6.2415385246276855,45
2349,-6.266786098480225,46
2399,-6.290823936462402,47
2449,-6.320111274719238,48
2499,-6.319329738616943,49
