epoch,train_loss,step
0,-3.961193323135376,49
1,-4.230567455291748,99
2,-4.533949851989746,149
3,-4.847525596618652,199
4,-5.12106990814209,249
5,-5.456521987915039,299
6,-5.606105327606201,349
7,-5.610269069671631,399
8,-5.851306915283203,449
9,-5.916228771209717,499
10,-6.033426284790039,549
11,-6.083407402038574,599
12,-6.116415023803711,649
13,-6.204602241516113,699
14,-6.220938205718994,749
15,-6.3455376625061035,799
16,-6.3583173751831055,849
17,-6.302444934844971,899
18,-6.430792808532715,949
19,-6.403447151184082,999
20,-6.504148960113525,1049
21,-6.514242649078369,1099
22,-6.496244430541992,1149
23,-6.307634353637695,1199
24,-6.513665199279785,1249
25,-6.607517719268799,1299
26,-6.623816967010498,1349
27,-6.659438610076904,1399
28,-6.6615705490112305,1449
29,-6.691284656524658,1499
30,-6.459566593170166,1549
31,-6.6281657218933105,1599
32,-6.740996837615967,1649
33,-6.7612481117248535,1699
34,-6.64970588684082,1749
35,-6.7536211013793945,1799
36,-6.79232931137085,1849
37,-6.813657283782959,1899
38,-6.70823860168457,1949
39,-6.804708480834961,1999
40,-6.866424083709717,2049
41,-6.636216640472412,2099
42,-6.66562557220459,2149
43,-6.916323184967041,2199
44,-6.893084526062012,2249
45,-6.753095626831055,2299
46,-6.856890678405762,2349
47,-6.9791436195373535,2399
48,-6.9502973556518555,2449
49,-6.707343578338623,2499
