step,train_loss,epoch
49,-4.054686069488525,0
99,-4.245101451873779,1
149,-4.611942291259766,2
199,-5.067915439605713,3
249,-5.498412609100342,4
299,-5.767779350280762,5
349,-6.0026326179504395,6
399,-6.127561569213867,7
449,-6.301422595977783,8
499,-6.3854146003723145,9
549,-6.481912612915039,10
599,-6.527822494506836,11
649,-6.649422645568848,12
699,-6.694084644317627,13
749,-6.728680610656738,14
799,-6.814853668212891,15
849,-6.910926342010498,16
899,-6.885357856750488,17
949,-6.988869667053223,18
999,-7.078930854797363,19
1049,-7.101564884185791,20
1099,-7.134559154510498,21
1149,-7.115048408508301,22
1199,-7.222134590148926,23
1249,-7.2997355461120605,24
1299,-7.37509822845459,25
1349,-7.414726734161377,26
1399,-7.4571757316589355,27
1449,-7.515411376953125,28
1499,-7.490691661834717,29
1549,-7.517509937286377,30
1599,-7.669185638427734,31
1649,-7.754751205444336,32
1699,-7.794119834899902,33
1749,-7.841458797454834,34
1799,-7.926496982574463,35
1849,-7.9922075271606445,36
1899,-8.069204330444336,37
1949,-8.13414478302002,38
1999,-8.187755584716797,39
2049,-8.257726669311523,40
2099,-8.345743179321289,41
2149,-8.381146430969238,42
2199,-8.468897819519043,43
2249,-8.527421951293945,44
2299,-8.55799388885498,45
2349,-8.578776359558105,46
2399,-8.626513481140137,47
2449,-8.642718315124512,48
2499,-8.660399436950684,49
