step,epoch,train_loss
49,0,-4.031975746154785
99,1,-4.203872203826904
149,2,-4.476853847503662
199,3,-4.934390068054199
249,4,-5.364846229553223
299,5,-5.730829238891602
349,6,-6.117466449737549
399,7,-6.232724666595459
449,8,-6.448173999786377
499,9,-6.563325881958008
549,10,-6.666621208190918
599,11,-6.740929126739502
649,12,-6.845106601715088
699,13,-6.843752384185791
749,14,-6.953805923461914
799,15,-6.895849704742432
849,16,-6.923889636993408
899,17,-7.095582485198975
949,18,-7.0932111740112305
999,19,-7.14052677154541
1049,20,-7.182601451873779
1099,21,-7.111413478851318
1149,22,-7.235260486602783
1199,23,-7.314609527587891
1249,24,-7.2865824699401855
1299,25,-7.305300235748291
1349,26,-7.3839240074157715
1399,27,-7.40095329284668
1449,28,-7.390047073364258
1499,29,-7.4342498779296875
1549,30,-7.379784107208252
1599,31,-7.383175849914551
1649,32,-7.461678981781006
1699,33,-7.454993724822998
1749,34,-7.4632110595703125
1799,35,-7.527153968811035
1849,36,-7.496708869934082
1899,37,-7.311826705932617
1949,38,-7.5442352294921875
1999,39,-7.581686019897461
2049,40,-7.58114767074585
2099,41,-7.614020347595215
2149,42,-7.633086681365967
2199,43,-7.579005241394043
2249,44,-7.616354942321777
2299,45,-7.6463704109191895
2349,46,-7.5847697257995605
2399,47,-7.6160712242126465
2449,48,-7.658324718475342
2499,49,-7.662083625793457
