step,train_loss,epoch
49,-4.057310581207275,0
99,-4.263970375061035,1
149,-4.641543388366699,2
199,-5.120357513427734,3
249,-5.51375675201416,4
299,-5.7826032638549805,5
349,-6.012746810913086,6
399,-6.162322998046875,7
449,-6.214946746826172,8
499,-6.405791759490967,9
549,-6.511270523071289,10
599,-6.572549343109131,11
649,-6.587271213531494,12
699,-6.573430061340332,13
749,-6.648499011993408,14
799,-6.7568769454956055,15
849,-6.751776695251465,16
899,-6.798022270202637,17
949,-6.827207565307617,18
999,-6.923044204711914,19
1049,-6.897949695587158,20
1099,-6.87809944152832,21
1149,-6.9452996253967285,22
1199,-7.011946201324463,23
1249,-7.046480655670166,24
1299,-7.027132034301758,25
1349,-7.0543107986450195,26
1399,-7.016039848327637,27
1449,-6.932249069213867,28
1499,-7.153777599334717,29
1549,-7.09757137298584,30
1599,-7.161177158355713,31
1649,-7.144880294799805,32
1699,-7.191737174987793,33
1749,-7.230133056640625,34
1799,-7.126014232635498,35
1849,-7.167900562286377,36
1899,-7.185481548309326,37
1949,-7.272561550140381,38
1999,-7.2850751876831055,39
2049,-7.242069721221924,40
2099,-7.1509504318237305,41
2149,-7.156606674194336,42
2199,-7.207334041595459,43
2249,-7.249163627624512,44
2299,-7.345347881317139,45
2349,-7.2261481285095215,46
2399,-7.3153815269470215,47
2449,-7.30466365814209,48
2499,-7.352685451507568,49
