train_loss,epoch,step
-4.0373454093933105,0,49
-4.231611251831055,1,99
-4.566865921020508,2,149
-5.043410778045654,3,199
-5.49652099609375,4,249
-5.7068772315979,5,299
-6.030434608459473,6,349
-6.1824049949646,7,399
-6.425164222717285,8,449
-6.4921135902404785,9,499
-6.4834794998168945,10,549
-6.661568641662598,11,599
-6.715871810913086,12,649
-6.745507717132568,13,699
-6.804304122924805,14,749
-6.9405388832092285,15,799
-6.8434953689575195,16,849
-6.970248222351074,17,899
-6.968414783477783,18,949
-6.906496524810791,19,999
-7.010805606842041,20,1049
-6.939479351043701,21,1099
-7.099127292633057,22,1149
-7.104079723358154,23,1199
-7.1602277755737305,24,1249
-7.162461757659912,25,1299
-7.222561836242676,26,1349
-7.180507659912109,27,1399
-7.262933731079102,28,1449
-7.303061485290527,29,1499
-7.190423011779785,30,1549
-7.205023288726807,31,1599
-7.275237560272217,32,1649
-7.34213399887085,33,1699
-7.3787007331848145,34,1749
-7.352065563201904,35,1799
-7.37582540512085,36,1849
-7.292614936828613,37,1899
-7.363415718078613,38,1949
-7.4432830810546875,39,1999
-7.349102973937988,40,2049
-7.444262504577637,41,2099
-7.519412040710449,42,2149
-7.514404773712158,43,2199
-7.433587074279785,44,2249
-7.5111799240112305,45,2299
-7.504578113555908,46,2349
-7.547421932220459,47,2399
-7.521139144897461,48,2449
-7.52651834487915,49,2499
